"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2679","login to application","webkit","2026-09-20","passed","2026-09-20","Login to Test","smoke\login.spec.js","",""
"","2470","login to application 1","chromium","2026-09-20","passed","2026-09-20","Data Driven Test for Login Scenarios","smoke\different_users.spec.js","",""
"","7674","login to application 3","firefox","2026-09-20","passed","2026-09-20","Data Driven Test for Login Scenarios","smoke\different_users.spec.js","",""
"","2777","login to application 4","webkit","2026-09-20","passed","2026-09-20","Data Driven Test for Login Scenarios","smoke\different_users.spec.js","",""
"","4884","login to application 4","firefox","2026-09-20","passed","2026-09-20","Data Driven Test for Login Scenarios","smoke\different_users.spec.js","",""
"","3886","login to application 2","webkit","2026-09-20","passed","2026-09-20","Data Driven Test for Login Scenarios","smoke\different_users.spec.js","",""
"","3691","login to application 1","webkit","2026-09-20","passed","2026-09-20","Data Driven Test for Login Scenarios","smoke\different_users.spec.js","",""
"","10746","login to application 1","firefox","2026-09-20","passed","2026-09-20","Data Driven Test for Login Scenarios","smoke\different_users.spec.js","",""
"","2676","login to application","chromium","2026-09-20","passed","2026-09-20","Login to Test","smoke\login.spec.js","",""
"","10553","login to application 2","firefox","2026-09-20","passed","2026-09-20","Data Driven Test for Login Scenarios","smoke\different_users.spec.js","",""
"","1441","login to application 4","chromium","2026-09-20","passed","2026-09-20","Data Driven Test for Login Scenarios","smoke\different_users.spec.js","",""
"","1538","login to application 3","chromium","2026-09-20","passed","2026-09-20","Data Driven Test for Login Scenarios","smoke\different_users.spec.js","",""
"","7175","login to application","firefox","2026-09-20","passed","2026-09-20","Login to Test","smoke\login.spec.js","",""
"","2713","login to application 3","webkit","2026-09-20","passed","2026-09-20","Data Driven Test for Login Scenarios","smoke\different_users.spec.js","",""
"","1592","login to application 2","chromium","2026-09-20","passed","2026-09-20","Data Driven Test for Login Scenarios","smoke\different_users.spec.js","",""
